,Northern Ireland
,N92000002
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,2.0
2020-03-05,2.0
2020-03-06,5.0
2020-03-07,7.0
2020-03-08,12.0
2020-03-09,16.0
2020-03-10,19.0
2020-03-11,22.0
2020-03-12,32.0
2020-03-13,36.0
2020-03-14,47.0
2020-03-15,56.0
2020-03-16,60.0
2020-03-17,69.0
2020-03-18,79.0
2020-03-19,93.0
2020-03-20,107.0
2020-03-21,125.0
2020-03-22,148.0
2020-03-23,166.0
2020-03-24,211.0
2020-03-25,251.0
2020-03-26,312.0
2020-03-27,390.0
2020-03-28,459.0
2020-03-29,538.0
2020-03-30,595.0
2020-03-31,679.0
2020-04-01,788.0
2020-04-02,892.0
2020-04-03,1001.0
2020-04-04,1090.0
2020-04-05,1166.0
2020-04-06,1225.0
2020-04-07,1325.0
2020-04-08,1458.0
2020-04-09,1559.0
2020-04-10,1661.0
2020-04-11,1760.0
2020-04-12,1823.0
2020-04-13,1902.0
2020-04-14,2009.0
2020-04-15,2112.0
2020-04-16,2246.0
2020-04-17,2388.0
2020-04-18,2553.0
2020-04-19,2638.0
2020-04-20,2685.0
2020-04-21,2801.0
2020-04-22,2948.0
2020-04-23,3070.0
2020-04-24,3150.0
2020-04-25,3239.0
2020-04-26,3296.0
2020-04-27,3341.0
2020-04-28,3425.0
2020-04-29,3497.0
2020-04-30,3580.0
2020-05-01,3672.0
2020-05-02,3765.0
2020-05-03,3822.0
2020-05-04,3855.0
2020-05-05,3907.0
2020-05-06,3958.0
2020-05-07,3998.0
2020-05-08,4059.0
2020-05-09,4100.0
2020-05-10,4132.0
2020-05-11,4177.0
2020-05-12,4241.0
2020-05-13,4296.0
2020-05-14,4328.0
2020-05-15,4361.0
2020-05-16,4398.0
2020-05-17,4422.0
2020-05-18,4443.0
2020-05-19,4474.0
2020-05-20,4517.0
2020-05-21,4538.0
2020-05-22,4572.0
2020-05-23,4589.0
2020-05-24,4622.0
2020-05-25,4632.0
2020-05-26,4637.0
