,Northern Ireland
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,3.0
2020-03-05,3.0
2020-03-06,3.0
2020-03-07,7.0
2020-03-08,12.0
2020-03-09,12.0
2020-03-10,16.0
2020-03-11,18.0
2020-03-12,20.0
2020-03-13,29.0
2020-03-14,34.0
2020-03-15,45.0
2020-03-16,52.0
2020-03-17,62.0
2020-03-18,68.0
2020-03-19,77.0
2020-03-20,86.0
2020-03-21,108.0
2020-03-22,128.0
2020-03-23,148.0
2020-03-24,172.0
2020-03-25,209.0
2020-03-26,241.0
2020-03-27,275.0
2020-03-28,324.0
2020-03-29,410.0
2020-03-30,533.0
2020-03-31,586.0
2020-04-01,689.0
2020-04-02,774.0
2020-04-03,904.0
2020-04-04,998.0
2020-04-05,1089.0
2020-04-06,1158.0
2020-04-07,1255.0
2020-04-08,1339.0
2020-04-09,1477.0
2020-04-10,1589.0
2020-04-11,1717.0
2020-04-12,1806.0
2020-04-13,1882.0
2020-04-14,1967.0
2020-04-15,2088.0
2020-04-16,2201.0
2020-04-17,2338.0
2020-04-18,2486.0
2020-04-19,2645.0
2020-04-20,2645.0
2020-04-21,2645.0
2020-04-22,2874.0
2020-04-23,3016.0
2020-04-24,3122.0
2020-04-25,3226.0
2020-04-26,3308.0
