,Area name,Area code,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23
0,Hartlepool,E06000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,8.0,11.0,12.0,17.0,20.0,23.0,25.0,30.0,36.0,39.0,48.0,59.0,65.0,72.0,74.0,78.0,83.0,85.0,88.0,90.0,93.0,93.0,103.0,107.0,112.0,113.0,113.0
1,Middlesbrough,E06000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,7.0,8.0,10.0,17.0,24.0,31.0,41.0,55.0,72.0,87.0,110.0,123.0,149.0,170.0,191.0,208.0,232.0,237.0,255.0,272.0,287.0,301.0,320.0,339.0,350.0,361.0,379.0,401.0,412.0,426.0,427.0,427.0
2,Redcar and Cleveland,E06000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,7.0,9.0,11.0,14.0,20.0,30.0,41.0,48.0,55.0,63.0,74.0,81.0,98.0,111.0,119.0,128.0,140.0,140.0,149.0,158.0,174.0,182.0,196.0,201.0,205.0,211.0,217.0,221.0,229.0,237.0,239.0,239.0
3,Stockton-on-Tees,E06000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,9.0,9.0,10.0,12.0,12.0,12.0,15.0,17.0,19.0,25.0,33.0,43.0,48.0,64.0,72.0,84.0,97.0,112.0,124.0,136.0,145.0,164.0,175.0,192.0,197.0,207.0,215.0,223.0,234.0,239.0,242.0,245.0,252.0,263.0,278.0,279.0,280.0
4,Darlington,E06000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,6.0,9.0,12.0,14.0,16.0,17.0,26.0,28.0,32.0,37.0,43.0,53.0,55.0,76.0,87.0,107.0,121.0,125.0,134.0,149.0,153.0,160.0,170.0,175.0,181.0,189.0,194.0,207.0,208.0,208.0
5,Halton,E06000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,13.0,16.0,18.0,25.0,34.0,36.0,48.0,57.0,64.0,78.0,96.0,108.0,123.0,147.0,159.0,173.0,188.0,200.0,211.0,215.0,223.0,233.0,244.0,253.0,263.0,268.0,276.0,281.0,283.0,283.0
6,Warrington,E06000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,8.0,10.0,15.0,18.0,19.0,22.0,32.0,40.0,50.0,68.0,87.0,104.0,128.0,144.0,160.0,183.0,214.0,245.0,283.0,304.0,332.0,349.0,357.0,373.0,402.0,415.0,441.0,454.0,465.0,472.0,492.0,497.0,497.0
7,Blackburn with Darwen,E06000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,7.0,11.0,12.0,14.0,18.0,22.0,30.0,38.0,46.0,54.0,66.0,75.0,85.0,93.0,103.0,116.0,127.0,143.0,155.0,165.0,177.0,188.0,204.0,214.0,225.0,230.0,244.0,249.0,256.0,256.0,256.0
8,Blackpool,E06000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,15.0,17.0,22.0,26.0,32.0,44.0,49.0,67.0,75.0,89.0,92.0,98.0,108.0,121.0,132.0,148.0,163.0,174.0,189.0,197.0,210.0,226.0,246.0,269.0,290.0,310.0,311.0,311.0
9,"Kingston upon Hull, City of",E06000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,8.0,11.0,13.0,13.0,16.0,19.0,21.0,26.0,34.0,44.0,52.0,56.0,71.0,83.0,92.0,105.0,123.0,137.0,147.0,162.0,190.0,222.0,232.0,247.0,271.0,288.0,312.0,320.0,320.0
