,Local Authority,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23
0,Blaenau Gwent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,12.0,13.0,15.0,23.0,25.0,28.0,31.0,35.0,40.0,46.0,51.0,54.0,59.0,68.0,83.0,89.0,97.0,106.0,118.0,122.0,138.0,143.0,158.0,165.0,170.0,180.0,182.0,190.0,199.0,209.0,219.0,229.0,238.0,240.0,243.0,243.0
1,Bridgend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0,11.0,13.0,18.0,26.0,32.0,35.0,40.0,44.0,49.0,54.0,64.0,80.0,99.0,116.0,127.0,139.0,149.0,171.0,186.0,202.0,209.0,222.0,239.0,248.0,269.0,288.0,300.0,315.0,319.0,321.0,327.0,328.0
2,Caerphilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,33.0,36.0,42.0,46.0,55.0,66.0,75.0,84.0,105.0,114.0,130.0,142.0,155.0,183.0,204.0,226.0,251.0,270.0,290.0,297.0,320.0,337.0,360.0,380.0,394.0,406.0,419.0,425.0,437.0,449.0,472.0,484.0,507.0,508.0,517.0,518.0
3,Cardiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,34.0,40.0,53.0,64.0,77.0,88.0,113.0,132.0,161.0,196.0,229.0,268.0,297.0,352.0,411.0,482.0,566.0,629.0,675.0,704.0,781.0,856.0,920.0,999.0,1046.0,1090.0,1130.0,1176.0,1235.0,1280.0,1330.0,1372.0,1410.0,1440.0,1483.0,1483.0
4,Carmarthenshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,12.0,13.0,15.0,18.0,20.0,29.0,34.0,37.0,46.0,52.0,59.0,67.0,83.0,104.0,117.0,126.0,141.0,157.0,183.0,199.0,216.0,238.0,250.0,264.0,277.0,288.0,307.0,320.0,336.0,353.0,379.0,389.0,405.0,405.0,405.0
5,Ceredigion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,7.0,9.0,11.0,12.0,13.0,13.0,13.0,16.0,18.0,20.0,21.0,23.0,24.0,25.0,26.0,26.0,26.0,28.0,29.0,31.0,31.0,31.0,32.0,33.0,33.0,33.0,34.0,35.0,35.0
6,Conwy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,7.0,7.0,9.0,10.0,11.0,14.0,15.0,19.0,21.0,24.0,26.0,33.0,38.0,45.0,53.0,56.0,66.0,76.0,81.0,88.0,102.0,108.0,121.0,131.0,141.0,145.0,145.0
7,Denbighshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,7.0,9.0,12.0,14.0,15.0,22.0,22.0,28.0,35.0,45.0,45.0,49.0,61.0,76.0,85.0,96.0,110.0,114.0,126.0,133.0,148.0,156.0,165.0,179.0,192.0,197.0,198.0,198.0
8,Flintshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,15.0,18.0,19.0,21.0,31.0,39.0,46.0,54.0,60.0,66.0,68.0,77.0,91.0,101.0,110.0,117.0,126.0,131.0,134.0,146.0,155.0,164.0,174.0,179.0,181.0,181.0,181.0
9,Gwynedd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,10.0,11.0,14.0,15.0,16.0,18.0,18.0,19.0,25.0,29.0,29.0,35.0,42.0,47.0,61.0,67.0,76.0,83.0,110.0,122.0,128.0,140.0,147.0,164.0,169.0,175.0,175.0
